,categorical_accuracy,descriptor_size,epochs,filename,filter_count,filter_height,filter_width,height,loss,mini_batch,regularization,top5_categorical_accuracy,width
0,0.021416804024449485,1024,150,cnn_w64_h64_1024_descr_32_x_5_5_filt_128_batch_None_reg_150_epochs.h5,32,5,5,64,3.9119699684752662,128,None,0.10378912669380964,64
0,0.021416804024449485,1024,150,cnn_w64_h64_1024_descr_16_x_5_5_filt_128_batch_L1(0.01)_reg_150_epochs.h5,16,5,5,64,4.744100100911626,128,L1(0.01),0.10378912719706138,64
0,0.021416804024449485,512,150,cnn_w64_h64_512_descr_16_x_5_5_filt_128_batch_L2(0.01)_reg_150_epochs.h5,16,5,5,64,3.911953281924202,128,L2(0.01),0.1037891269761216,64
0,0.021416804024449485,512,150,cnn_w64_h64_512_descr_16_x_3_3_filt_128_batch_L2(0.01)_reg_150_epochs.h5,16,3,3,64,3.911956520803285,128,L2(0.01),0.10378912647286985,64
0,0.021416804024449485,512,150,cnn_w64_h64_512_descr_32_x_3_3_filt_128_batch_L2(0.01)_reg_150_epochs.h5,32,3,3,64,3.9119500905717226,128,L2(0.01),0.10378912741800117,64
0,0.0214168039538715,512,150,cnn_w64_h64_512_descr_32_x_5_5_filt_32_batch_L1(0.0001)_reg_150_epochs.h5,32,5,5,64,3.9229265103819344,32,L1(0.0001),0.10378912680427954,64
0,0.0214168039538715,512,150,cnn_w64_h64_512_descr_32_x_3_3_filt_32_batch_L1(0.0001)_reg_150_epochs.h5,32,3,3,64,3.927654615540481,32,L1(0.0001),0.1037891267551818,64
0,0.0214168039538715,1024,150,cnn_w64_h64_1024_descr_16_x_3_3_filt_32_batch_L2(0.0001)_reg_150_epochs.h5,16,3,3,64,3.911955505462219,32,L2(0.0001),0.10378912670608408,64
0,0.0214168039538715,512,150,cnn_w64_h64_512_descr_32_x_5_5_filt_32_batch_None_reg_150_epochs.h5,32,5,5,64,3.9119329185422993,32,None,0.10378912670608408,64
0,0.0214168039538715,512,150,cnn_w64_h64_512_descr_16_x_5_5_filt_32_batch_None_reg_150_epochs.h5,16,5,5,64,3.9119562713868143,32,None,0.1037891267551818,64
0,0.0214168039538715,1024,150,cnn_w64_h64_1024_descr_32_x_3_3_filt_32_batch_L2(0.0001)_reg_150_epochs.h5,32,3,3,64,3.911940509051428,32,L2(0.0001),0.10378912670608408,64
0,0.0214168039538715,512,150,cnn_w64_h64_512_descr_16_x_3_3_filt_32_batch_L2(0.0001)_reg_150_epochs.h5,16,3,3,64,3.9119385997388862,32,L2(0.0001),0.10378912670608408,64
0,0.0214168039538715,1024,150,cnn_w64_h64_1024_descr_16_x_3_3_filt_32_batch_None_reg_150_epochs.h5,16,3,3,64,3.911940818563521,32,None,0.1037891267551818,64
0,0.0214168039538715,256,150,cnn_w64_h64_256_descr_16_x_5_5_filt_128_batch_L2(0.01)_reg_150_epochs.h5,16,5,5,64,3.911937747795067,128,L2(0.01),0.10378912691474942,64
0,0.0214168039538715,1024,150,cnn_w64_h64_1024_descr_32_x_3_3_filt_32_batch_L1(0.0001)_reg_150_epochs.h5,32,3,3,64,3.9420610664311115,32,L1(0.0001),0.10378912680427954,64
0,0.021416803904773768,512,150,cnn_w64_h64_512_descr_32_x_3_3_filt_32_batch_None_reg_150_epochs.h5,32,3,3,64,3.9119468214484376,32,None,0.10543657311497646,64
0,0.021416803904773768,512,150,cnn_w64_h64_512_descr_16_x_3_3_filt_32_batch_None_reg_150_epochs.h5,16,3,3,64,3.9119310618625245,32,None,0.10378912670608408,64
0,0.021416803904773768,512,150,cnn_w64_h64_512_descr_16_x_5_5_filt_32_batch_L1(0.0001)_reg_150_epochs.h5,16,5,5,64,3.9164333088197663,32,L1(0.0001),0.1037891267551818,64
0,0.021416803904773768,1024,150,cnn_w64_h64_1024_descr_16_x_3_3_filt_32_batch_L1(0.0001)_reg_150_epochs.h5,16,3,3,64,3.9271752637929147,32,L1(0.0001),0.10378912665698635,64
0,0.021416803904773768,512,150,cnn_w64_h64_512_descr_16_x_3_3_filt_32_batch_L1(0.0001)_reg_150_epochs.h5,16,3,3,64,3.919585392934683,32,L1(0.0001),0.10378912660788861,64
0,0.021416803904773768,512,150,cnn_w64_h64_512_descr_16_x_5_5_filt_32_batch_L2(0.0001)_reg_150_epochs.h5,16,5,5,64,3.911939828360493,32,L2(0.0001),0.10378912670608408,64
0,0.021416803904773768,512,150,cnn_w64_h64_512_descr_32_x_5_5_filt_32_batch_L2(0.0001)_reg_150_epochs.h5,32,5,5,64,3.911958017694891,32,L2(0.0001),0.10378912655879088,64
0,0.021416803874087686,512,150,cnn_w128_h128_512_descr_32_x_3_3_filt_128_batch_L1(0.01)_reg_150_epochs.h5,32,3,3,128,12.31917827801021,128,L1(0.01),0.10543657343411171,128
0,0.021416803874087686,256,150,cnn_w64_h64_256_descr_16_x_3_3_filt_128_batch_L2(0.01)_reg_150_epochs.h5,16,3,3,64,3.9119427966128857,128,L2(0.01),0.1037891269761216,64
0,0.021416803874087686,512,150,cnn_w64_h64_512_descr_32_x_5_5_filt_128_batch_L1(0.01)_reg_150_epochs.h5,32,5,5,64,5.067737577774576,128,L1(0.01),0.10378912647286985,64
0,0.021416803874087686,1024,150,cnn_w64_h64_1024_descr_32_x_3_3_filt_128_batch_L1(0.01)_reg_150_epochs.h5,32,3,3,64,7.057768391227408,128,L1(0.01),0.1037891267551818,64
0,0.021416803874087686,512,150,cnn_w64_h64_512_descr_32_x_3_3_filt_128_batch_L1(0.01)_reg_150_epochs.h5,32,3,3,64,5.563361248820774,128,L1(0.01),0.10378912653424202,64
0,0.021416803874087686,512,120,cnn_w64_h64_512_descr_32_x_3_3_filt_128_batch_L1(0.01)_reg_120_epochs.h5,32,3,3,64,5.565351556906786,128,L1(0.01),0.10378912631330223,64
0,0.02141680385567604,512,150,cnn_w64_h64_512_descr_32_x_3_3_filt_32_batch_L2(0.0001)_reg_150_epochs.h5,32,3,3,64,3.9119363777719967,32,L2(0.0001),0.10378912650969316,64
0,0.021416803794303874,1024,150,cnn_w64_h64_1024_descr_32_x_3_3_filt_128_batch_L2(0.01)_reg_150_epochs.h5,32,3,3,64,3.9119293179111385,128,L2(0.01),0.10378912587142265,64
